Aiptasia_ID	Strain	System	Replicate	Temperature	Timepoint	PAM
H2_B_5_36_3	H2	B	5	36	3	0.467
H2_B_6_36_3	H2	B	6	36	3	0.034
H2_B_7_36_3	H2	B	7	36	3	0.148
H2_B_8_36_3	H2	B	8	36	3	0.017
H2_B_9_36_3	H2	B	9	36	3	0.000
H2_B_10_36_3	H2	B	10	36	3	0.115
H2_B_1_39_3	H2	B	1	38.2	3	0.000
H2_B_2_39_3	H2	B	2	38.2	3	0.000
H2_B_3_39_3	H2	B	3	38.2	3	0.000
H2_B_4_39_3	H2	B	4	38.2	3	0.000
H2_B_5_39_3	H2	B	5	38.2	3	0.000
H2_B_6_39_3	H2	B	6	38.2	3	0.000
H2_B_7_39_3	H2	B	7	38.2	3	0.000
H2_B_8_39_3	H2	B	8	38.2	3	0.000
H2_B_9_39_3	H2	B	9	38.2	3	0.000
H2_B_10_39_3	H2	B	10	38.2	3	0.000
H2_B_1_30_4	H2	B	1	30	4	0.599
H2_B_2_30_4	H2	B	2	30	4	0.585
H2_B_3_30_4	H2	B	3	30	4	0.587
H2_B_4_30_4	H2	B	4	30	4	0.612
H2_B_5_30_4	H2	B	5	30	4	0.627
H2_B_6_30_4	H2	B	6	30	4	0.610
H2_B_7_30_4	H2	B	7	30	4	0.607
H2_B_8_30_4	H2	B	8	30	4	0.607
H2_B_9_30_4	H2	B	9	30	4	0.641
H2_B_10_30_4	H2	B	10	30	4	0.604
H2_B_1_34_4	H2	B	1	34	4	0.605
H2_B_2_34_4	H2	B	2	34	4	0.582
H2_B_3_34_4	H2	B	3	34	4	0.590
H2_B_4_34_4	H2	B	4	34	4	0.601
H2_B_5_34_4	H2	B	5	34	4	0.586
H2_B_6_34_4	H2	B	6	34	4	0.000
H2_B_7_34_4	H2	B	7	34	4	0.608
H2_B_8_34_4	H2	B	8	34	4	0.646
H2_B_9_34_4	H2	B	9	34	4	0.593
H2_B_10_34_4	H2	B	10	34	4	0.615
H2_B_1_36_4	H2	B	1	36	4	0.075
H2_B_2_36_4	H2	B	2	36	4	
H2_B_3_36_4	H2	B	3	36	4	0.000
H2_B_4_36_4	H2	B	4	36	4	0.037
H2_B_5_36_4	H2	B	5	36	4	0.574
H2_B_6_36_4	H2	B	6	36	4	0.072
H2_B_7_36_4	H2	B	7	36	4	0.165
H2_B_8_36_4	H2	B	8	36	4	0.000
H2_B_9_36_4	H2	B	9	36	4	0.191
H2_B_10_36_4	H2	B	10	36	4	0.000
H2_B_1_39_4	H2	B	1	38.2	4	0.000
H2_B_2_39_4	H2	B	2	38.2	4	0.000
H2_B_3_39_4	H2	B	3	38.2	4	0.000
H2_B_4_39_4	H2	B	4	38.2	4	0.000
H2_B_5_39_4	H2	B	5	38.2	4	0.000
H2_B_6_39_4	H2	B	6	38.2	4	0.000
H2_B_7_39_4	H2	B	7	38.2	4	0.000
H2_B_8_39_4	H2	B	8	38.2	4	0.000
H2_B_9_39_4	H2	B	9	38.2	4	0.000
H2_B_10_39_4	H2	B	10	38.2	4	0.000
H2_B_1_30_5	H2	B	1	30	5	0.577
H2_B_2_30_5	H2	B	2	30	5	0.599
H2_B_3_30_5	H2	B	3	30	5	0.586
H2_B_4_30_5	H2	B	4	30	5	0.586
H2_B_5_30_5	H2	B	5	30	5	0.614
H2_B_6_30_5	H2	B	6	30	5	0.571
H2_B_7_30_5	H2	B	7	30	5	0.584
H2_B_8_30_5	H2	B	8	30	5	0.602
H2_B_9_30_5	H2	B	9	30	5	0.582
H2_B_10_30_5	H2	B	10	30	5	0.616
H2_B_1_34_5	H2	B	1	34	5	0.574
H2_B_2_34_5	H2	B	2	34	5	0.594
H2_B_3_34_5	H2	B	3	34	5	0.604
H2_B_4_34_5	H2	B	4	34	5	0.614
H2_B_5_34_5	H2	B	5	34	5	0.600
H2_B_6_34_5	H2	B	6	34	5	0.540
H2_B_7_34_5	H2	B	7	34	5	0.583
H2_B_8_34_5	H2	B	8	34	5	0.540
H2_B_1_36_5	H2	B	1	36	5	0.449
H2_B_1_39_5	H2	B	1	39	5	0.000
H2_B_2_39_5	H2	B	2	39	5	0.000
H2_B_3_39_5	H2	B	3	39	5	0.000
H2_B_4_39_5	H2	B	4	39	5	0.000
H2_B_5_39_5	H2	B	5	39	5	0.000
H2_B_6_39_5	H2	B	6	39	5	0.000
H2_B_7_39_5	H2	B	7	39	5	0.000
H2_B_8_39_5	H2	B	8	39	5	0.000
H2_B_9_39_5	H2	B	9	39	5	0.000
H2_B_10_39_5	H2	B	10	39	5	0.000
